investment_id,nep_measure,name,operator,bus0,bus1,p_nom,p_nom_source,cod_year,commitment,match_confidence,source
1,DC3,SuedLink West,TenneT / TransnetBW,19685,24880,2000.0,stated,2028,safe,0.8,NEP 2025 / BBPlG / EnLAG
2,DC4,SuedLink East,TenneT / TransnetBW,38907,14633,2000.0,stated,2028,safe,0.8,NEP 2025 / BBPlG / EnLAG
3,DC5,SuedOstLink,50Hertz / TenneT,39434,12874,2000.0,stated,2027,safe,0.75,NEP 2025 / BBPlG / EnLAG
5,DC1,A-Nord,Amprion,4173,4492,2000.0,stated,2027,safe,0.8,NEP 2025 / BBPlG / EnLAG
6,DC2a/DC2b,Ultranet,Amprion / TransnetBW,4492,36267,2000.0,stated,2028,firm,0.9,NEP 2025 / BBPlG / EnLAG
9965,DC21b,Wilhelmshaven/Landkreis Friesland - Lippetal/Welver/Hamm,Amprion,967,3280,2000.0,hvdc_default,2032,firm,0.8,NEP 2037/2045 (2025) 2.E
9966,DC25,Heide/West - Polsum,Amprion,21043,1928,2000.0,hvdc_default,2033,firm,0.9,NEP 2037/2045 (2025) 2.E
9967,DC31,Hochwöhrden - Mühlenbeck,50Hertz,18686,21043,2000.0,hvdc_default,2032,firm,0.75,NEP 2037/2045 (2025) 2.E
9968,DC32,Suchraum Pöschendorf - Mühlenbeck,50Hertz,18686,21043,2000.0,hvdc_default,2034,firm,0.75,NEP 2037/2045 (2025) 2.E
9969,DC34,Großenmeer - Bürstadt,Amprion,678,37760,2000.0,hvdc_default,2033,firm,0.8,NEP 2037/2045 (2025) 2.E
9975,DC20,Mühlenbeck - Isar,50Hertz,39434,12874,2000.0,hvdc_default,2032,firm,0.75,NEP 2037/2045 (2025) 2.E
